id,title,image_url,artist,year,medium,collection,current_location,creation_location,height,width
1141,Women Ironing,http://commons.wikimedia.org/wiki/Special:FilePath/Edgar%20Degas%20-%20Repasseuses%20-%20Mus%C3%A9e%20d%27Orsay.jpg,Edgar Degas,1884,canvas,Musée d'Orsay,Musée d'Orsay,Unknown,76,81.5
1145,La Nymphe surprise,http://commons.wikimedia.org/wiki/Special:FilePath/Edouard%20Manet%20Die%20ueberraschte%20Nymphe.jpg,Édouard Manet,1860,oil paint,National Museum of Fine Arts,National Museum of Fine Arts,Unknown,144.5,112.5
274,The Dormition,http://commons.wikimedia.org/wiki/Special:FilePath/Hugo%20van%20der%20Goes%20-%20The%20Death%20of%20the%20Virgin%20-%20WGA9668.jpg,Hugo van der Goes,1475,oil paint,Groeningemuseum,Groeningemuseum,Southern Netherlands,147.8,122.5
840,Pietà,http://commons.wikimedia.org/wiki/Special:FilePath/Accademia%20-%20Piet%C3%A0%20by%20Titian.jpg,Titian,1575,oil paint,Gallerie dell'Accademia,Gallerie dell'Accademia,Unknown,352,349
1084,Jupiter and Thetis,http://commons.wikimedia.org/wiki/Special:FilePath/J%C3%BApiter%20y%20Tetis%2C%20por%20Dominique%20Ingres.jpg,Jean-Auguste-Dominique Ingres,1811,canvas,Musée Granet,Musée Granet,Unknown,327,260
363,Mars Being Disarmed by Venus,http://commons.wikimedia.org/wiki/Special:FilePath/Jacques-Louis%20David%20-%20Mars%20desarme%20par%20Venus.JPG,Jacques-Louis David,1824,oil paint,Royal Museums of Fine Arts of Belgium,Royal Museums of Fine Arts of Belgium,Unknown,308,265
238,Pala Baglioni,http://commons.wikimedia.org/wiki/Special:FilePath/Rekonstruktion%20%27Pala%20Baglioni%27.jpg,Raphael,1507,oil paint,Galleria Borghese,Galleria Borghese,Unknown,184,176
1214,"Le Bassin aux nymphéas, Harmonie rose",http://commons.wikimedia.org/wiki/Special:FilePath/Le%20Bassin%20aux%20nymph%C3%A9as%2C%20harmonie%20rose%20-%20Claude%20Monet.jpg,Claude Monet,1900,canvas,Musée d'Orsay,Musée d'Orsay,Unknown,90,100.5
942,The Entombment,http://commons.wikimedia.org/wiki/Special:FilePath/Entombment%20Michelangelo.jpg,Michelangelo,1500,panel,National Gallery,National Gallery,Unknown,161.7,149.9
3,Assumption of the Virgin,http://commons.wikimedia.org/wiki/Special:FilePath/Del%20Castagno%20Andrea%20Our%20Lady%20of%20the%20Assumption%20with%20Sts%20Miniato%20and%20Julian.jpg,Andrea del Castagno,1449,poplar panel,Solly Collection,"paintings of the Italian Renaissance, hall XVIII",Italy,131,150.7
7,Officer and Laughing Girl,http://commons.wikimedia.org/wiki/Special:FilePath/Johannes%20Vermeer%20-%20De%20Soldaat%20en%20het%20Lachende%20Meisje%20-%20Google%20Art%20Project.jpg,Johannes Vermeer,1658,canvas,The Frick Collection,The Frick Collection,Unknown,50.5,46
